date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
02-04-1993,NA,121.7766,38.7931,NA,30 miles East of Waglan. Hong Kong - Luzon - Hainan,CHN,CHN,10.42762457,121.6962997,38.8629418,NA,Mv Bunga Terasek,NA,NA,mappingpiracy
04-04-1993,NA,123.8,22.7333333,NA,Hong Kong - Luzon - Hainan,JPN,JPN,168.8271381,123.8512476,24.25698477,NA,Mv Pernas Proton,NA,NA,mappingpiracy
04-04-1993,NA,115.6667,22.3333333,NA,Hong Kong - Luzon - Hainan,CHN,CHN,38.27281173,115.5752189,22.66833597,NA,Mv Birlad,NA,NA,mappingpiracy
08-04-1993,NA,111.4167,12.5166667,NA,South China Sea,VNM,VNM,211.8323817,109.4724227,12.65639883,NA,Mv NL Trader,NA,NA,mappingpiracy
13-04-1993,NA,115.25,19.67,NA,Hong Kong Harbour. Hong Kong - Luzon - Hainan,CHN,TWN,280.8118709,114.3025008,22.04486726,NA,MV Baltimar Neptune,NA,NA,mappingpiracy
17-04-1993,NA,115.6167,17.6333333,NA,Hong Kong - Luzon - Hainan,CHN,TWN,324.7929248,112.736827,16.6602237,NA,MV Sun Kung No. 8,NA,NA,mappingpiracy
22-04-1993,NA,117.35,20.3,NA,Hong Kong - Luzon - Hainan,CHN,TWN,305.362037,116.4946879,22.93935241,NA,MV OOCL Beacon,NA,NA,mappingpiracy
22-04-1993,NA,98.6767,3.7766667,NA,Belawan Port. Straits of Malacca-Indonesia,IDN,IDN,4.815190419,98.71062259,3.803778387,NA,Mv Magic Lady,NA,NA,mappingpiracy
22-04-1993,NA,116.0833,19.4,NA,Hong Kong - Luzon - Hainan,CHN,TWN,346.6162688,114.3025008,22.04486726,NA,MV Salud Ace,NA,NA,mappingpiracy
23-04-1993,NA,116.7833,21.1666667,NA,Hong Kong - Luzon - Hainan,CHN,TWN,196.9697334,116.0956899,22.82590046,NA,Bukhta,NA,NA,mappingpiracy
23-04-1993,NA,117.5,20.8,NA,Hong Kong - Luzon - Hainan,CHN,TWN,258.6698845,116.4946879,22.93935241,NA,Mv Old Sea Beacon,NA,NA,mappingpiracy
29-04-1993,NA,126.0333,28.85,NA,East China Sea,JPN,JPN,241.2175085,128.2298283,27.86896393,NA,MT President,NA,NA,mappingpiracy
29-04-1993,NA,114.1833,17.926,NA,300 miles South of Hong Kong. Hong Kong - Luzon - Hainan,CHN,CHN,207.8542609,112.7334091,16.66608308,NA,Mv Zhongshan,NA,NA,mappingpiracy
02-05-1993,NA,124.95,35.2333333,NA,East China Sea,KOR,KOR,73.42519403,125.4212346,34.69708893,NA,Mv Konstantin,NA,NA,mappingpiracy
03-05-1993,NA,120.05,17.3,NA,South China Sea,PHL,PHL,38.16391116,120.4082137,17.32269929,NA,NA,NA,NA,mappingpiracy
04-05-1993,NA,115.984,19.3123,NA,235 miles SE of Hong Kong. Hong Kong - Luzon - Hainan,CHN,TWN,349.5862663,114.3025008,22.04486726,NA,Mv Tricolor Star III,NA,NA,mappingpiracy
04-05-1993,NA,123.85,35.7833333,NA,East China Sea,CHN,KOR,172.4863261,122.5173446,36.90314362,NA,Mv Komsomlskaya Smena,NA,NA,mappingpiracy
17-05-1993,NA,3.3767,6.45,NA,"16 miles South of Lagos, Nigeria",NGA,NGA,0.745848921,3.37387129,6.456122137,NA,Mt Petrobulk Panther,NA,NA,mappingpiracy
19-05-1993,NA,106,-5.95,NA,"Alongside Prointal Jetty, Indonesia",IDN,IDN,3.580700836,105.9972437,-5.91773854,NA,Maersk Sussex,NA,NA,mappingpiracy
24-05-1993,NA,100.1667,3.5,NA,Straits of Malacca-Indonesia,IDN,IDN,58.18179192,99.75074304,3.180487372,NA,Mv Star Lily,NA,NA,mappingpiracy
25-05-1993,NA,108.7167,-5.7833333,NA,Java Sea,IDN,IDN,64.64907938,108.3602691,-6.246400945,NA,Mt Timur Mercury,NA,NA,mappingpiracy
25-05-1993,NA,108.4,6.9833333,NA,South China Sea,IDN,VNM,248.3809,108.0051376,4.772365627,NA,Mv Pina,NA,NA,mappingpiracy
02-06-1993,NA,122.1833,37.4333333,NA,Port of Weihaiwei. East China Sea,CHN,CHN,1.284733749,122.1977645,37.43235912,NA,Mv Sibirskiy-2114,NA,NA,mappingpiracy
03-06-1993,NA,101.45,1.6766667,NA,Dumai Port. Straits of Malacca-Indonesia,IDN,IDN,4.422683577,101.4270126,1.709295966,NA,Mt Timur Endurance,NA,NA,mappingpiracy
09-06-1993,NA,101.9,2.25,NA,Straits of Malacca-Malaysia,MYS,MYS,16.44109515,101.865245,2.39451732,NA,Mt Royal Arrow,NA,NA,mappingpiracy
09-06-1993,NA,124.6667,27.6166667,NA,East China Sea,NA,NA,190.6399253,124.5668238,25.89842357,NA,Mv Soyuz 4,NA,NA,mappingpiracy
11-06-1993,NA,124.1667,22.75,NA,East China Sea,JPN,JPN,169.7109435,123.8730575,24.25824616,NA,Mt Dooyang Amber,NA,NA,mappingpiracy
11-06-1993,NA,123.5667,37.7,NA,East China Sea,CHN,CHN,84.03706164,122.688243,37.4098168,NA,Mv Kap. Modest Ivanov,NA,NA,mappingpiracy
12-06-1993,NA,79.8432,6.95,NA,"Colombo Outer Road, Sri Lanka",LKA,LKA,1.450377734,79.84815514,6.962144273,NA,Mv Tiger Stream,NA,NA,mappingpiracy
13-06-1993,NA,123.3167,36.8166667,NA,East China Sea,CHN,CHN,70.9440071,122.5327255,36.92593008,NA,Gorets,NA,NA,mappingpiracy
15-06-1993,NA,122.9286,29.0791,NA,150NM SE of Shanghai. East China Sea,CHN,CHN,93.28014704,121.9914657,29.25731029,NA,Mv Kovdor,NA,NA,mappingpiracy
16-06-1993,NA,125.1539,29.2179,NA,East China Sea,CHN,CHN,275.9887222,122.3951929,29.8333194,NA,Mv Tokarevsk,NA,NA,mappingpiracy
17-06-1993,NA,127.5,29.7833333,NA,East China Sea,JPN,KOR,196.3917211,129.5276799,29.90232982,NA,Mv Elm,NA,NA,mappingpiracy
21-06-1993,NA,3.3667,6.2833333,NA,Nigeria,NGA,NGA,12.76660309,3.326182488,6.391424872,NA,Mt Dan Frigg,NA,NA,mappingpiracy
24-06-1993,NA,111.2333,20.4166667,NA,Hong Kong - Luzon - Hainan,CHN,CHN,55.44484006,110.9206649,20.01203034,NA,Mv Kapitan Betkher,NA,NA,mappingpiracy
25-06-1993,NA,-77.0667,3.8766667,NA,"Inner Anchorage, Buenaventura, Colombia",COL,COL,1.008899726,-77.0685929,3.867743231,NA,Mv Crion,NA,NA,mappingpiracy
25-06-1993,NA,128.6167,35.0666667,NA,East China Sea,KOR,KOR,0.754746603,128.6247665,35.06818268,NA,Gorets,NA,NA,mappingpiracy
26-06-1993,NA,110.5833,20.9666667,NA,China,CHN,CHN,1.040183208,110.5896102,20.95937735,NA,Mv Pavel Rybin,NA,NA,mappingpiracy
26-06-1993,NA,106.5,5.25,NA,South China Sea,IDN,IDN,170.4340586,107.9367782,4.70307038,NA,Mv Far Trader,NA,NA,mappingpiracy
26-06-1993,NA,116.25,20.7666667,NA,Hong Kong - Luzon - Hainan,CHN,TWN,221.8364662,115.5752189,22.66833597,NA,Mv Kap. Leo. Borisenko,NA,NA,mappingpiracy
06-07-1993,NA,115.7,20.0333333,NA,Hong Kong - Luzon - Hainan,CHN,TWN,265.8912454,114.3025008,22.04486726,NA,Mv Khudozhnik,NA,NA,mappingpiracy
07-07-1993,NA,99.4333,4.1833333,NA,Straits of Malacca-Indonesia,IDN,IDN,75.01162277,99.07391005,3.608994286,NA,Mv Faarabi,NA,NA,mappingpiracy
07-07-1993,NA,124.1333,35.3166667,NA,East China Sea,KOR,KOR,135.7884717,125.4056096,34.68256257,NA,Mv Valeriy Volkov,NA,NA,mappingpiracy
08-07-1993,NA,124.1667,35.3333333,NA,East China Sea,KOR,KOR,134.1623893,125.4128524,34.69196198,NA,Mv Evgenity Zuluz,NA,NA,mappingpiracy
14-07-1993,NA,115.2167,22.3,NA,Hong Kong - Luzon - Hainan,CHN,CHN,42.12889507,114.9191185,22.56115516,NA,Mv Ivan Skuridin,NA,NA,mappingpiracy
15-07-1993,NA,115.15,22.4,NA,Hong Kong - Luzon - Hainan,CHN,CHN,29.71560231,114.9191185,22.56115516,NA,Mv Ko Mal San,NA,NA,mappingpiracy
13-08-1993,NA,115.1,22.1333333,NA,Hong Kong - Luzon - Hainan,CHN,CHN,50.45197051,114.8959664,22.5475244,NA,Mv Hermes Hope,NA,NA,mappingpiracy
20-08-1993,NA,112.7467,-7.1885,NA,"Berlian barat, Surabaya, Indonesia",IDN,IDN,1.852101831,112.7451278,-7.205173435,NA,Mt Kitsa,NA,NA,mappingpiracy
28-08-1993,NA,115.4533,19.5783333,NA,Hong Kong - Luzon - Hainan,CHN,TWN,298.1979649,114.3025008,22.04486726,NA,Mv A.J. 1,NA,NA,mappingpiracy
02-09-1993,NA,98.6767,3.7766667,NA,"Berth 105, Belawan Port, Indonesia",IDN,IDN,4.815190419,98.71062259,3.803778387,NA,Mv Gold Future,NA,NA,mappingpiracy
09-09-1993,NA,13.965,-5.915,NA,Angola,COD,AGO,86.69204428,13.18433679,-5.856215102,NA,Mv Tilly,NA,NA,mappingpiracy
11-09-1993,NA,105,1,NA,Indonesia,IDN,IDN,16.53721606,104.8523055,0.983710028,NA,Mv Kota Intan,NA,NA,mappingpiracy
21-09-1993,NA,120.1667,17.7166667,NA,Hong Kong - Luzon - Hainan,PHL,PHL,20.23933908,120.3532007,17.67812735,NA,Mv Inger Riis,NA,NA,mappingpiracy
27-09-1993,NA,98.6767,3.7766667,NA,"Berth 108-109, Belawan Port, Indonesia",IDN,IDN,4.815190419,98.71062259,3.803778387,NA,Mv Macknight,NA,NA,mappingpiracy
29-09-1993,NA,-46.33,-24.1483333,NA,"Outer Road, Santos, Brazil",BRA,BRA,14.29787153,-46.38630124,-24.03004323,NA,Mv Sao Paulo,NA,NA,mappingpiracy
08-10-1993,NA,-46.33,-24.1483333,NA,"Outer Road, Santos, Brazil",BRA,BRA,14.29787153,-46.38630124,-24.03004323,NA,Mv Betelgeuse,NA,NA,mappingpiracy
17-10-1993,NA,120.2867,18.28,NA,Hong Kong - Luzon - Hainan,PHL,PHL,25.42184835,120.518077,18.21771882,NA,Mt BP Admiral,NA,NA,mappingpiracy
19-10-1993,NA,115.8667,-9.1666667,NA,Indonesia,IDN,IDN,32.97812517,116.0095321,-8.904473566,NA,Gullhaar,NA,NA,mappingpiracy
22-10-1993,NA,106.6667,8.2833333,NA,Kampuchea,VNM,VNM,41.48872685,106.5992945,8.6524112,NA,Mv Nordsino,NA,NA,mappingpiracy
26-10-1993,NA,-58.17,6.8216667,NA,"Georgetown, Guyana",GUY,GUY,0.636843673,-58.16567949,6.817857164,NA,Mv Cottica,NA,NA,mappingpiracy
28-10-1993,NA,98.5833,-4.7333333,NA,Indonesia,IDN,IDN,256.5771124,100.3369247,-3.2225888,NA,Mv Impala,NA,NA,mappingpiracy
02-11-1993,NA,90.8333,22.0833,NA,"Off Brul Reach, Gange River, India",BGD,BGD,6.0976986,90.7747502,22.0759138,NA,LPG/C Polar Endurance,NA,NA,mappingpiracy
05-11-1993,NA,118.3667,19.8666667,NA,Hong Kong - Luzon - Hainan,PHL,TWN,276.6421382,120.5701604,18.50177643,NA,Mv Kayax,NA,NA,mappingpiracy
12-11-1993,NA,79.6487,6.9499,NA,"12NM off Colombo Port, Sri Lanka",LKA,LKA,22.08245376,79.84815514,6.962144273,NA,Mv Lanka Asitha,NA,NA,mappingpiracy
04-12-1993,NA,120.1833,17.95,NA,Hong Kong - Luzon - Hainan,PHL,PHL,26.17542983,120.4253036,17.9024112,NA,Mv Alam Teladan,NA,NA,mappingpiracy
06-12-1993,NA,89.3333,1.8333333,NA,Indian Ocean,IDN,NA,715.2368129,95.69263757,2.792059637,NA,Mv Usguaua,NA,NA,mappingpiracy
09-12-1993,NA,98.6767,3.7766667,NA,"Belawan Port, Indonesia",IDN,IDN,4.815190419,98.71062259,3.803778387,NA,Mv Sea Laurel,NA,NA,mappingpiracy
02-01-1994,NA,116.1,22.0166667,Attempted,South China Sea,CHN,CHN,85.61923805,115.8259561,22.74664352,NA,Francesia,NA,NA,mappingpiracy
05-01-1994,NA,112.0333,13.6333333,Hijacked,South China Sea,VNM,VNM,253.5601658,111.1965438,15.7753767,NA,Jui Ho,NA,NA,mappingpiracy
09-01-1994,NA,103.4,1.1833333,Attempted,STM-INDO,IDN,IDN,5.975183863,103.3898218,1.130275783,NA,Joyama Maru,NA,NA,mappingpiracy
09-01-1994,NA,103.4833,1.3,Boarded,Indonesia,MYS,MYS,2.5660371,103.5040796,1.289943752,NA,Gyoko Maru,NA,NA,mappingpiracy
09-01-1994,NA,103.45,1.1666667,Boarded,STM-INDO,IDN,IDN,7.813492156,103.3898218,1.130275783,NA,Hellespont P,NA,NA,mappingpiracy
10-01-1994,NA,118.1167,18.5666667,Boarded,HLH Area,PHL,PHL,254.2741924,120.4700627,18.09100983,NA,Peder Most,NA,NA,mappingpiracy
11-01-1994,NA,91.8267,22.2383333,Attempted,"Chittagong B, Bangladesh",BGD,BGD,0.8313377,91.83472741,22.23761628,NA,Moon Bird,NA,NA,mappingpiracy
12-01-1994,NA,104.0833,1.2333333,Boarded,Singapore Straits,IDN,IDN,5.098464691,104.0905868,1.187811591,NA,Bophuthatbwana,NA,NA,mappingpiracy
16-01-1994,NA,123.9,28.5666667,Boarded,East China Sea,CHN,CHN,198.5581073,121.9583439,29.10187409,NA,Lucie Schulte,NA,NA,mappingpiracy
16-01-1994,NA,107.0833,10.3,Boarded,Vietnam,VNM,VNM,2.599546049,107.0871688,10.32318757,NA,Diyyinah,NA,NA,mappingpiracy
22-01-1994,NA,32.55,29.8166667,Boarded,"No.8 Suez Canal, Egypt",EGY,EGY,5.333366015,32.6045028,29.82416413,NA,Landka Asitha,NA,NA,mappingpiracy
25-01-1994,NA,103.3167,1.25,Boarded,STM-INDO,IDN,IDN,14.25915349,103.3664657,1.131170966,NA,Aries Has,NA,NA,mappingpiracy
25-01-1994,NA,119.9667,17.6833333,Boarded,HLH Area,PHL,PHL,41.00942032,120.3532007,17.67812735,NA,Hans Oldendorff,NA,NA,mappingpiracy
26-01-1994,NA,-76.7533,17.7366667,NA,"Off Kingston, Jamaica, Carribean",JAM,JAM,21.2955163,-76.61314857,17.87449779,NA,Victoria Faith,NA,NA,mappingpiracy
27-01-1994,NA,122.9286,29.0791,NA,East China Sea,CHN,CHN,93.28014704,121.9914657,29.25731029,NA,Nanshin Maru,NA,NA,mappingpiracy
27-01-1994,NA,121.4,20,Hijacked,HLH Area,PHL,PHL,56.02019796,121.8508407,20.27342357,NA,Alicia Star,NA,NA,mappingpiracy
30-01-1994,NA,110.7667,14.9,Boarded,HLH Area,VNM,VNM,107.257783,111.1941024,15.77610912,NA,Kota Mulia,NA,NA,mappingpiracy
10-02-1994,NA,43.1667,11.6666667,Hijacked,Somalia,DJI,DJI,6.285266935,43.15186608,11.61176179,NA,MV Castor,NA,NA,mappingpiracy
16-02-1994,NA,112.0333,13.6333333,NA,HLH Area,VNM,VNM,253.5601658,111.1965438,15.7753767,NA,Vlaherna,NA,NA,mappingpiracy
16-02-1994,NA,121.5933,15.0133333,Boarded,"Manila Port, Philippines",PHL,PHL,4.431694785,121.5600692,14.98965078,NA,Nord Light,NA,NA,mappingpiracy
21-02-1994,NA,112.9,12.2833333,Attempted,South China Sea,CHN,CHN,202.7920642,114.2722274,11.04584382,NA,Rita Del Mar,NA,NA,mappingpiracy
27-02-1994,NA,121.6433,22.9833333,Boarded,HLH Area,TWN,TWN,30.3015704,121.3816024,23.11066315,NA,Keumgang Glory,NA,NA,mappingpiracy
08-03-1994,NA,116.95,-1.3666667,Boarded,Indonesia,IDN,IDN,14.04081611,116.9576929,-1.239922784,NA,Timur Endurance,NA,NA,mappingpiracy
12-03-1994,NA,106.3333,8.4666667,Attempted,Kampuchea,VNM,VNM,34.1164283,106.5783798,8.655462958,NA,Santa Esmeralda,NA,NA,mappingpiracy
14-03-1994,NA,-17.4247,14.676,Boarded,"Dakar Roads, Senegal",SEN,SEN,0.261033934,-17.42682858,14.67487214,NA,Peder Most,NA,NA,mappingpiracy
15-03-1994,NA,79.7583,6.945,Boarded,Sri Lanka,LKA,LKA,10.10893705,79.84815514,6.962144273,NA,California Zeus,NA,NA,mappingpiracy
20-03-1994,NA,114.1945,22.555,Hijacked,"TCS No.2 Buoy, Hong Kong (Coded as Hong Kong Port)",CHN,CHN,2.7731864,114.2099716,22.53449128,NA,Tequila,NA,NA,mappingpiracy
25-03-1994,NA,116.1167,22.6166667,Attempted,East China Sea,CHN,CHN,23.2708876,116.0956899,22.82590046,NA,Khudozhnik N. Rer,NA,NA,mappingpiracy
26-03-1994,NA,121.6433,25.9833333,Attempted,East China Sea,TWN,TWN,77.79337613,121.5397242,25.28742097,NA,Nordsung,NA,NA,mappingpiracy
26-03-1994,NA,114.2667,22.1166667,Boarded,East China Sea,CHN,CHN,6.397482952,114.2985946,22.06712474,NA,Shun Ping,NA,NA,mappingpiracy
19-04-1994,NA,110.4717,13.3883333,Boarded,South China Sea,VNM,VNM,121.1358888,109.4650171,12.91331615,NA,Kota Indah,NA,NA,mappingpiracy
23-04-1994,NA,121.22,19.6041667,Attempted,Philippines,PHL,PHL,28.75848418,121.3508407,19.37592194,NA,Forum Wind,NA,NA,mappingpiracy
25-04-1994,NA,106.9025,-6.0976667,Boarded,"Tanjung Priok Roads, Indonesia",IDN,IDN,7.190381219,106.8377385,-6.102715753,NA,Ikan Beliak,NA,NA,mappingpiracy
03-05-1994,NA,107.3,18.75,Hijacked,Gulf of Tonkin,VNM,CHN,114.7249447,106.4348251,18.12352123,NA,M63807A,NA,NA,mappingpiracy
08-05-1994,NA,98.7007,3.7836667,Boarded,"Belawan Roads, Indonesia",IDN,IDN,2.482068608,98.71062259,3.803778387,NA,Bangkok Navee,NA,NA,mappingpiracy
16-05-1994,NA,-48.4877,-24.637,Boarded,"Santos Roads, Brazil",BRA,BRA,62.48681319,-48.05158444,-25.03679778,NA,Alaska,NA,NA,mappingpiracy
17-05-1994,NA,98.7007,3.7836667,Boarded,"Outer Anchorage, Dar Es Salaam, Tanzania",IDN,IDN,2.482068608,98.71062259,3.803778387,NA,Finnwood,NA,NA,mappingpiracy
22-05-1994,NA,119.95,17.6,Attempted,HLH Area,PHL,PHL,41.03025732,120.3338322,17.55638255,NA,Timber Trader XII,NA,NA,mappingpiracy
24-05-1994,NA,98.7007,3.7836667,Boarded,"Belawan, Indonesia",IDN,IDN,2.482068608,98.71062259,3.803778387,NA,Nordstar,NA,NA,mappingpiracy
30-05-1994,NA,-46.305,-24.637,Boarded,"Santos Roads, Brazil",BRA,BRA,67.33122822,-46.59341387,-24.08953216,NA,Cap Polonio,NA,NA,mappingpiracy
30-05-1994,NA,98.7007,3.7836667,Boarded,"Belawan Roads, Indonesia",IDN,IDN,2.482068608,98.71062259,3.803778387,NA,Ocean GR,NA,NA,mappingpiracy
30-05-1994,NA,117.5667,0.0833333,Boarded,Indonesia,IDN,IDN,8.356471608,117.5172632,0.140204169,NA,Pacific Gas,NA,NA,mappingpiracy
04-06-1994,NA,122.1667,6.1333333,Attempted,Philippines,PHL,PHL,26.84000267,121.9404403,6.046087958,NA,Wold Quince,NA,NA,mappingpiracy
07-06-1994,NA,104.6,1.6666667,NA,Malaysia,MYS,MYS,38.49789725,104.2552189,1.637762762,NA,vviva,NA,NA,mappingpiracy
09-06-1994,NA,-48.4877,-24.637,Boarded,"Alemoa Terminal, Santos, Brazil",BRA,BRA,62.48681319,-48.05158444,-25.03679778,NA,San Giovanni,NA,NA,mappingpiracy
13-06-1994,NA,118.0555,5.815,Boarded,"No.2 Jetty, Sandakan, Malaysia",MYS,MYS,0.761401104,118.0588485,5.808986721,NA,Asian Venture,NA,NA,mappingpiracy
15-06-1994,NA,117.1383,-0.5401667,Boarded,"Samarinda Anchorage, Indonesia",IDN,IDN,33.74762115,117.2815048,-0.809177342,NA,Toyo,NA,NA,mappingpiracy
19-06-1994,NA,112.7235,-7.2038333,Boarded,"Wharf 108, Surabaya, Indonesia",IDN,IDN,1.955988514,112.7295028,-7.220472915,NA,Bass Reefer,NA,NA,mappingpiracy
01-07-1994,NA,117.6167,0.0333333,Boarded,Indonesia (Documented coordinates 2:00.0N/117:37.0E locates in a forested area. Recoded due N to 2:00.54N in the waterway nearby),IDN,IDN,10.9064988,117.5234481,0.003078518,NA,Bonny,NA,NA,mappingpiracy
16-07-1994,NA,114.1945,22.555,Attempted,"South Lamma DG, Hong Kong",CHN,CHN,2.7731864,114.2099716,22.53449128,NA,Ervilia,NA,NA,mappingpiracy
17-07-1994,NA,119.05,21.25,Attempted,South China Sea,TWN,TWN,187.576441,120.7003687,21.94843171,NA,Rheingas,NA,NA,mappingpiracy
18-07-1994,NA,-43.1913,-22.8765,Boarded,"Inner Roads, Rio de Janeiro, Brazil",BRA,BRA,2.178646678,-43.17332923,-22.88697682,NA,Mister Michael,NA,NA,mappingpiracy
19-07-1994,NA,115.8667,20.1333333,Attempted,HLH Area,CHN,TWN,266.8439144,114.3025008,22.04486726,NA,New Hailee,NA,NA,mappingpiracy
26-07-1994,NA,123.1867,29.63,Attempted,East China Sea,CHN,CHN,79.82176086,122.3951929,29.8333194,NA,Kropotkin,NA,NA,mappingpiracy
